Region;Tissue;Lectin;File;Threshold;H_Score;Total_Pos_Pct;Weak_Pct;Mod_Pct;Strong_Pct;Mean_OD
ALSANCAK;GENEL DOKU;WGA;Image_34913.jpg;0,3;31,8;19,01;8,28;8,68;2,05;0,3924
ALSANCAK;GENEL DOKU;WGA;Image_34907.jpg;0,22;36,22;27,1;19,36;6,36;1,38;0,3228
ALSANCAK;GENEL DOKU;WGA;Image_34907.jpg;0,28;24,51;15,39;7,65;6,36;1,38;0,3799
ALSANCAK;GENEL DOKU;WGA;Image_34907.jpg;0,3;21,79;12,67;4,93;6,36;1,38;0,3993
ALSANCAK;GENEL DOKU;WGA;Image_34912.jpg;0,22;59,65;52,36;45,68;6,08;0,61;0,2876
ALSANCAK;GENEL DOKU;WGA;Image_34912.jpg;0,28;28,67;21,38;14,69;6,08;0,61;0,3462
ALSANCAK;GENEL DOKU;WGA;Image_34912.jpg;0,3;22,59;15,29;8,61;6,08;0,61;0,3687
ALSANCAK;GENEL DOKU;WGA;Image_34910.jpg;0,22;36,98;31,6;26,41;4,99;0,2;0,297
ALSANCAK;GENEL DOKU;WGA;Image_34910.jpg;0,28;21,16;15,77;10,58;4,99;0,2;0,3464
ALSANCAK;GENEL DOKU;WGA;Image_34910.jpg;0,3;17,36;11,97;6,79;4,99;0,2;0,3643
ALSANCAK;GENEL DOKU;WGA;Image_34911.jpg;0,22;51,93;44,64;37,77;6,45;0,42;0,2909
ALSANCAK;GENEL DOKU;WGA;Image_34911.jpg;0,28;25,99;18,71;11,84;6,45;0,42;0,352
ALSANCAK;GENEL DOKU;WGA;Image_34911.jpg;0,3;21,24;13,95;7,08;6,45;0,42;0,3734
ALSANCAK;GENEL DOKU;WGA;Image_34915.jpg;0,22;77,26;60,81;46,81;11,55;2,45;0,3135
ALSANCAK;GENEL DOKU;WGA;Image_34915.jpg;0,28;50,58;34,13;20,12;11,55;2,45;0,3636
ALSANCAK;GENEL DOKU;WGA;Image_34915.jpg;0,3;43,32;26,86;12,86;11,55;2,45;0,3836
ALSANCAK;GENEL DOKU;WGA;Image_34914.jpg;0,22;53,29;37,24;23,46;11,51;2,27;0,3374
ALSANCAK;GENEL DOKU;WGA;Image_34914.jpg;0,28;40,23;24,18;10,4;11,51;2,27;0,3858
ALSANCAK;GENEL DOKU;WGA;Image_34914.jpg;0,3;36,85;20,8;7,02;11,51;2,27;0,4014
ALSANCAK;GENEL DOKU;WGA;Image_34916.jpg;0,22;37,86;32,24;26,85;5,16;0,23;0,2975
ALSANCAK;GENEL DOKU;WGA;Image_34916.jpg;0,28;21,69;16,07;10,68;5,16;0,23;0,3475
ALSANCAK;GENEL DOKU;WGA;Image_34916.jpg;0,3;17,78;12,16;6,77;5,16;0,23;0,3661
ALSANCAK;GENEL DOKU;WGA;Image_34917.jpg;0,22;45,3;35,74;26,66;8,61;0,48;0,3122
ALSANCAK;GENEL DOKU;WGA;Image_34917.jpg;0,28;30,35;20,79;11,7;8,61;0,48;0,3582
ALSANCAK;GENEL DOKU;WGA;Image_34917.jpg;0,3;26,39;16,83;7,75;8,61;0,48;0,3743
ALSANCAK;GENEL DOKU;WGA;Image_34919.jpg;0,22;64,22;48,01;35,26;9,27;3,48;0,3216
ALSANCAK;GENEL DOKU;WGA;Image_34919.jpg;0,28;41,5;25,28;12,54;9,27;3,48;0,3889
ALSANCAK;GENEL DOKU;WGA;Image_34919.jpg;0,3;36,83;20,61;7,87;9,27;3,48;0,4115
ALSANCAK;GENEL DOKU;WGA;Image_34918.jpg;0,22;73,09;56,79;43,03;11,22;2,54;0,3175
ALSANCAK;GENEL DOKU;WGA;Image_34918.jpg;0,28;49,64;33,34;19,58;11,22;2,54;0,3651
ALSANCAK;GENEL DOKU;WGA;Image_34918.jpg;0,3;42,76;26,46;12,71;11,22;2,54;0,3847
ALSANCAK;GENEL DOKU;WGA;Image_34920.jpg;0,22;92,72;62,93;38,94;18,18;5,8;0,3481
ALSANCAK;GENEL DOKU;WGA;Image_34920.jpg;0,28;73,68;43,89;19,9;18,18;5,8;0,3904
ALSANCAK;GENEL DOKU;WGA;Image_34920.jpg;0,3;67,32;37,53;13,54;18,18;5,8;0,4074
ALSANCAK;GENEL DOKU;WGA;Image_34908.jpg;0,22;20,18;18,72;17,41;1,19;0,13;0,2788
ALSANCAK;GENEL DOKU;WGA;Image_34908.jpg;0,28;7,53;6,08;4,76;1,19;0,13;0,3478
ALSANCAK;GENEL DOKU;WGA;Image_34908.jpg;0,3;5,43;3,98;2,66;1,19;0,13;0,3786
ALSANCAK;GENEL DOKU;WGA;Image_34909.jpg;0,22;28,39;25,07;21,9;3,02;0,15;0,29
ALSANCAK;GENEL DOKU;WGA;Image_34909.jpg;0,28;14,41;11,1;7,93;3,02;0,15;0,3438
ALSANCAK;GENEL DOKU;WGA;Image_34909.jpg;0,3;11,36;8,04;4,87;3,02;0,15;0,3645
ALSANCAK;GENEL DOKU;WGA;Image_34921.jpg;0,22;44,4;35,97;28,81;5,91;1,26;0,3059
ALSANCAK;GENEL DOKU;WGA;Image_34921.jpg;0,28;26,52;18,1;10,93;5,91;1,26;0,363
ALSANCAK;GENEL DOKU;WGA;Image_34921.jpg;0,3;22,3;13,88;6,71;5,91;1,26;0,3853
ALSANCAK;GENEL DOKU;WGA;Image_34922.jpg;0,22;47,76;39,54;32,31;6,24;0,99;0,3019
ALSANCAK;GENEL DOKU;WGA;Image_34922.jpg;0,28;27,58;19,36;12,13;6,24;0,99;0,3582
ALSANCAK;GENEL DOKU;WGA;Image_34922.jpg;0,3;22,94;14,72;7,49;6,24;0,99;0,3798
ALSANCAK;GONAD;SNA;Image_34941copy.jpg;0,22;59,11;46,48;36,06;8,21;2,21;0,3221
ALSANCAK;GONAD;SNA;Image_34941copy.jpg;0,28;37,78;25,15;14,74;8,21;2,21;0,3844
ALSANCAK;GONAD;SNA;Image_34941copy.jpg;0,3;32,38;19,75;9,33;8,21;2,21;0,4103
ALSANCAK;GONAD;SNA;Image_34949.jpg;0,22;2,47;2,15;1,96;0,08;0,12;0,3237
ALSANCAK;GONAD;SNA;Image_34949.jpg;0,28;0,87;0,55;0,36;0,08;0,12;0,5633
ALSANCAK;GONAD;SNA;Image_34949.jpg;0,3;0,71;0,39;0,2;0,08;0,12;0,6747
ALSANCAK;GONAD;SNA;Image_34948.jpg;0,22;6,49;6,01;5,66;0,22;0,13;0,2784
ALSANCAK;GONAD;SNA;Image_34948.jpg;0,28;1,57;1,09;0,74;0,22;0,13;0,4511
ALSANCAK;GONAD;SNA;Image_34948.jpg;0,3;1,22;0,74;0,39;0,22;0,13;0,5284
ALSANCAK;GONAD;SNA;Image_34951.jpg;0,22;14,03;12,71;11,69;0,72;0,3;0,2733
ALSANCAK;GONAD;SNA;Image_34951.jpg;0,28;4,03;2,71;1,7;0,72;0,3;0,3925
ALSANCAK;GONAD;SNA;Image_34951.jpg;0,3;3,22;1,9;0,88;0,72;0,3;0,4367
